type,cities_count,id,name,slug,parent
0,1177,715,ایران,iran,
2,,1,تهران,tehran,904
2,,3,مشهد,mashhad,880
2,,2,کرج,karaj,895
2,,6,شیراز,shiraz,898
2,,4,اصفهان,isfahan,890
2,,7,اهواز,ahvaz,902
2,,5,تبریز,tabriz,891
2,,9,کرمانشاه,kermanshah,905
2,,8,قم,qom,892
2,,12,رشت,rasht,889
4,,3432,۲۰۰۰واحدی,2000-vahedi,7
4,,3431,۲۰۰دستگاه,200-dastgah,7
4,,3158,۲۲ بهمن,22-bahman-nishabur,318
4,,2309,۲۲ بهمن,22-bahman,30
4,,2537,۲۲ بهمن,22-bahman-najaf-abad,31
4,,3445,۲۴ متری,khiaban-24-metri,7
4,,3433,۲۵۴دستگاه,254-dastgah,7
4,,3404,۳۰ متری,khiaban-30-metri,7
4,,3240,۴۵ متری,45-metri,1776
4,,2459,۹ دی,9-dey,1744
4,,2490,A1,a1,1745
4,,2488,A2,a2,1745
4,,2489,A3,a3,1745
4,,2487,A4,a4,1745
4,,2486,A6,a6,1745
4,,2493,B1,b1,1745
4,,2502,B2,b2,1745
4,,2501,B4,b4,1745
4,,2496,B5,b5,1745
4,,2495,B6,b6,1745
4,,2500,B7,b7,1745
4,,2497,B8,b8,1745
4,,2494,B9,b9,1745
4,,2506,C1,c1,1745
4,,2507,C2,c2,1745
4,,2508,C3,c3,1745
4,,2505,C4,c4,1745
4,,2504,C5,c5,1745
4,,2509,C6,c6,1745
4,,2510,C7,c7,1745
4,,2499,C8,c8,1745
4,,2142,آب آسیاب,abasiab,12
2,,24,آبادان,abadan,902
4,,1125,آبادگران,Shahrak-e-Taleqani,3
2,,851,آباده,abadeh,898
2,,3619,آبپخش,abpakhsh,900
4,,1404,آب جوار,abjavar,6
2,,3629,آبدان,abdan,900
2,,775,آبدانان,abdanan,888
4,,2795,آبزنگی,abzangi,6
2,,1709,آبسرد,absard,904
2,,3497,آبش احمد,abesh-ahmad,891
4,,992,آبشار,abshar,1
4,,3245,آبشار,abshar-torbat-heydariyeh,1776
4,,1593,آبشار,abshar-isfahan,4
4,,907,آبشار تهران (دریاچه),abshar-tehran,1
2,,1715,آبعلی,abali,904
4,,1176,آبکوه,abkuh,3
2,,2947,آبکوه,abkuh-city,880
2,,3787,آبگرم,abgarm,878
4,,2182,آب و برق,ab-va-barq,12
4,,1359,آبیاری,abyari,6
2,,869,آبیک,abyek,878
4,,3079,آپارتمان های مرتفع,aparteman-haye-mortafa,3
4,,2192,آتشگاه,atashgah,12
4,,4437,آتشگاه,atashgah-karaj,2
4,,40,آجودانیه,ajoodanieh,1
4,,2061,آخرخط,akharxat,708
4,,4214,آدران,adran,1765
4,,654,آذربایجان,azarbaijan,1
4,,2090,آذربایجان,azarbayjan,708
2,,853,آذرشهر,azarshahr,891
4,,611,آذر (نکویی),azar,8
4,,198,آذری,azari,1
2,,3713,آرادان,aradan,882
4,,87,آرارات,ararat,1
4,,2658,آرامستان بهشت معصومه,aramestan-behesht-masoumeh-qom,8
4,,2436,آرامستان بهشت معصومه,aramestan-behesht-masoumeh,1744
2,,1737,آران و بیدگل,aran-va-bidgol,890
4,,301,آرژانتین,arjantin,1
2,,3808,آرمرده,armardeh,885
4,,355,آریاشهر,ariyashahr,7
4,,1543,آزادان,azadan,4
4,,4338,آزادشهر,azadshahr-tehran,1
2,,1691,آزادشهر,azadshahr-golestan,897
4,,431,آزادشهر,azadshahr,3
4,,1435,آزادگان,azadegan-isfahan,4
4,,589,آزادگان,azadegan,2
4,,1933,آزادگان,rasht-azadegan,12
4,,609,آزادگان,azadegan-qom,8
4,,527,آزادگان,fazilatblvd,6
4,,2804,آزادی,azadi,6
2,,1722,آسارا,asara,895
4,,3237,آسایش,asayesh,1776
2,,824,آستارا,astara,889
2,,825,آستانه اشرفیه,astaneh-ashrafiyeh,889
2,,1995,آستانه سرا,astaneh-sara,893
4,,925,آسمان,aseman,1
2,,3849,آسمینون,aasmenoon,877
4,,3416,آسیاباد,asiabad,7
4,,4401,آسیاب برجی,asiab-borji,2
4,,2039,آسیای میانه,asiyaye-miane,708
2,,3725,آشار,aashaar,883
2,,3937,آشتیان,ashtian,901
4,,951,آشتیانی,ashtiyani,1
2,,793,آشخانه,ashkhaneh,896
2,,3403,آغاجاری,aghajari,902
4,,3235,آغوی,aghvi,1776
4,,1458,آفاران,afaran,4
2,,4025,آفتاب,aftab,904
4,,1041,آق تپه,aq-tappeh,2
2,,748,آق قلا,aq-qala,897
2,,1993,آکند,akand,893
2,,1871,آلاشت,aalasht,893
4,,2643,آلوچو,aluchu,8
2,,663,آمل,amol,893
4,,2378,آموزشگاه شهید بهشتی,amoozeshgah-shahid-beheshti,4
4,,2135,آهندان,ahandan,746
4,,273,آهنگ,ahang,1
4,,1456,آهنگران,shahishabad,4
4,,970,آهنگران (سراسیاب دولاب),sarasiab-doolab,1
2,,3726,آهوران,ahuran,883
2,,3785,آوج,avaj,878
4,,1210,آیت الله خامنه‌ای,ayatollah-khamenei,3
4,,2329,آیت الله سعیدی,ayatollah-saeedi,30
4,,3073,آیت الله کاشانی,ayatollah-kashani,3
2,,3668,آیسک,ayask,876
4,,291,ائمه اطهار,farah-abad,1
4,,173,اباذر,aboozar,1
4,,3355,ابارش,abarsh,316
4,,1560,ابر,abr,4
4,,4255,ابراهیم‌آباد,ebrahimabad-shahriar,1759
4,,3343,ابراهیم ادهم,ebrahim-adham,318
4,,3342,ابراهیمی,ebrahimi,318
4,,3382,ابرغن,abarghon,3
2,,4003,ابرکوه,abarkooh,886
2,,1723,ابریشم,abrisham-isfahan,890
4,,979,ابن بابویه,ebn-babevayh,1
2,,802,ابهر,abhar,879
4,,1193,ابوذر,abouzar-mashhad,3
4,,3266,ابوذر,abuzar,1776
4,,1020,ابوذر,abouzar,1
4,,2834,ابوذر جنوبی,aboozar-jonoubi,1788
4,,2827,ابوذر شمالی‎,abozar-shomali,1788
4,,3175,ابوریحان,aborihan,316
4,,1374,ابیوردی,abiverdi,6
4,,1019,اتابک,atabak,1
4,,1078,اتحاد,ettehad,2
4,,990,اتحاد,etehad,1
4,,4531,اتمسفر,atmosfer,2
4,,1045,احدآباد,ahadabad,2
4,,4461,احمد آباد,ahmadabad-nazarabad,774
4,,440,احمدآباد,ahmadabad,3
4,,1470,احمدآباد,ahmad-abad-isfahan,4
4,,1310,احمدآباد,ahmad-abad,6
2,,4037,احمدآبادمستوفی,ahmadabadmostofi,904
2,,1852,احمدسرگوراب,ahmadsar-gourab,889
4,,2150,احمد گوراب,ahmad-gurab,12
2,,3950,احمدی,ahmadi-city,894
4,,1366,احمدی,ahmadi,6
4,,1352,احمدی جنوبی,emam-hosein,6
4,,1049,اخترآباد,akhtarabad,2
4,,68,اختیاریه,ekhtiyariyeh,1
4,,1051,اخگرآباد,akhgarabad,2
4,,3088,ادیب نیشابوری (شهرک غرب),adib-nishaburi,3
4,,943,اراج,araj,1
4,,4172,اراضی عباس آباد,arazi-abbas-abad,1
4,,4539,اراضی فتح المبین (محمدیه),arazi-fatholmobin-mohammadiye,30
2,,15,اراک,arak,901
4,,131,ارامنه,aramaneh,1
2,,1714,ارجمند,arjmand,904
4,,4149,ارجمندی راد,arjamandi-rad,1
2,,2722,ارد,ard,898
4,,1563,ارداجی,ardaji,4
2,,17,اردبیل,ardabil,906
2,,2202,اردستان,ardestaan,890
2,,846,اردکان,ardakan,886
2,,3637,اردل,ardal,903
4,,4487,اردهه,ardeh,1754
4,,409,ارزنان,arzanaan,4
2,,3836,ارزوئیه,arezouyeh,877
2,,2725,ارژن,arzhan,898
2,,3543,ارس,aras,881
2,,3662,ارسک,arsak,876
2,,2726,ارسنجان,arsanjan,898
4,,1162,ارشاد,ershad,3
2,,3574,ارشق,arshagh,906
2,,1987,ارطه,arateh,893
4,,1554,ارغوانیه,arghavanieh,4
4,,612,ارم,haram,8
4,,522,ارم,eram-shiraz,6
4,,160,ارم,eram,1
2,,3621,ارم,oram,900
4,,3082,ارمغان,armaghan,3
2,,3650,ارمند,armand,903
2,,10,ارومیه,urmia,881
4,,1247,اروند,arvand,3
